sleep_duration,bedtime_hour,wake_hour,caffeine_intake,exercise_duration,screen_time_before_bed,stress_level,mood_before_sleep,sleep_interruptions,sleep_score,sleep_quality
9.0,22.8,7.8,Low,5.0,52.0,5,Happy,No,48.3,Average
6.9,0.1,7.0,None,13.0,104.0,2,Neutral,No,62.6,Average
8.7,22.4,7.1,Low,69.0,23.0,6,Anxious,No,74.4,Good
6.9,22.5,5.4,Low,47.0,41.0,1,Anxious,No,71.0,Good
6.2,2.8,9.0,None,50.0,8.0,0,Anxious,Yes,65.4,Good
10.3,20.4,6.7,Low,9.0,48.0,4,Sad,Yes,10.6,Poor
5.6,20.8,2.4,Low,7.0,105.0,3,Anxious,No,19.3,Poor
8.8,0.0,8.9,Low,16.0,5.0,3,Anxious,No,66.1,Good
6.0,0.1,6.0,Low,73.0,17.0,3,Happy,No,76.0,Good
6.0,21.7,3.7,None,21.0,26.0,6,Neutral,No,66.4,Good
6.9,21.9,4.8,None,22.0,86.0,7,Neutral,No,59.9,Average
6.4,23.0,5.5,Low,1.0,14.0,5,Neutral,No,62.9,Average
6.0,22.9,4.9,Low,1.0,48.0,5,Anxious,Yes,19.2,Poor
6.1,1.9,8.0,None,33.0,20.0,5,Neutral,No,73.1,Good
7.5,23.2,6.7,Low,9.0,68.0,3,Anxious,No,52.7,Average
5.9,0.4,6.3,High,15.0,2.0,6,Sad,No,8.6,Poor
5.2,0.8,6.0,High,66.0,176.0,7,Sad,Yes,0.0,Poor
6.1,22.1,4.2,Low,20.0,18.0,4,Anxious,No,52.8,Average
5.4,1.4,6.8,Low,121.0,36.0,5,Happy,No,59.8,Average
7.7,0.3,8.0,Moderate,82.0,102.0,8,Happy,Yes,35.5,Poor
4.4,21.4,1.8,High,76.0,136.0,1,Neutral,No,28.0,Poor
6.2,22.9,5.1,None,20.0,107.0,2,Sad,No,49.6,Average
8.2,1.5,9.7,None,20.0,11.0,0,Neutral,No,89.0,Good
7.8,23.9,7.7,Moderate,60.0,50.0,5,Anxious,No,59.6,Average
7.3,2.0,9.3,High,22.0,8.0,2,Happy,Yes,58.5,Average
7.1,22.9,6.0,None,27.0,7.0,4,Neutral,Yes,71.1,Good
6.4,24.0,6.3,Low,2.0,71.0,4,Happy,No,42.8,Average
8.6,20.8,5.5,Low,60.0,39.0,3,Neutral,No,77.1,Good
6.9,22.2,5.1,None,23.0,110.0,2,Neutral,No,71.5,Good
4.2,22.9,3.1,High,94.0,8.0,4,Sad,No,37.4,Poor
5.3,21.1,2.4,Low,37.0,213.0,4,Sad,Yes,11.1,Poor
7.9,23.8,7.7,Low,38.0,5.0,5,Neutral,No,86.4,Good
4.7,21.9,2.5,Low,10.0,7.0,8,Neutral,No,35.4,Poor
5.2,23.3,4.5,None,6.0,105.0,4,Neutral,Yes,22.6,Poor
7.0,23.5,6.5,None,46.0,190.0,1,Anxious,No,69.3,Good
5.1,22.4,3.5,Moderate,49.0,45.0,9,Neutral,No,36.0,Poor
7.2,22.9,6.1,Low,65.0,34.0,8,Anxious,Yes,46.9,Average
4.1,2.0,6.1,None,30.0,24.0,5,Happy,Yes,39.5,Poor
9.0,2.3,11.3,Low,57.0,176.0,2,Sad,Yes,45.4,Average
5.9,20.0,1.9,Moderate,98.0,12.0,5,Happy,Yes,42.3,Average
6.5,1.1,7.6,High,19.0,85.0,4,Happy,No,53.1,Average
6.3,21.8,4.1,High,1.0,108.0,3,Happy,Yes,19.2,Poor
7.1,22.8,5.9,Low,17.0,2.0,3,Happy,No,90.0,Good
4.4,22.5,2.9,Low,127.0,47.0,8,Sad,Yes,23.2,Poor
6.1,22.8,4.8,Moderate,19.0,107.0,5,Happy,Yes,29.7,Poor
8.3,20.0,4.3,Moderate,3.0,14.0,4,Happy,No,61.1,Average
8.0,22.1,6.1,Moderate,6.0,51.0,0,Sad,Yes,35.1,Poor
5.3,0.1,5.3,None,40.0,4.0,0,Neutral,No,70.7,Good
7.8,1.0,8.7,None,79.0,21.0,4,Neutral,Yes,74.7,Good
8.5,22.2,6.7,Moderate,18.0,10.0,6,Neutral,No,66.8,Good
7.9,20.0,3.9,Low,30.0,121.0,7,Neutral,No,44.6,Average
8.1,1.9,10.0,High,67.0,14.0,0,Sad,No,72.1,Good
8.0,0.8,8.8,None,10.0,120.0,3,Happy,No,62.1,Average
8.8,0.8,9.6,Moderate,32.0,55.0,2,Neutral,No,71.4,Good
8.1,23.6,7.7,Moderate,9.0,59.0,2,Happy,Yes,43.2,Average
5.7,22.6,4.4,Low,23.0,159.0,8,Neutral,Yes,4.8,Poor
7.1,23.4,6.5,None,19.0,48.0,4,Happy,No,90.1,Good
7.0,20.9,3.9,Moderate,3.0,6.0,10,Neutral,No,43.4,Average
5.5,23.7,5.2,High,26.0,72.0,7,Sad,No,11.1,Poor
5.7,1.3,7.0,Low,38.0,60.0,3,Happy,No,46.8,Average
4.0,22.6,2.6,Moderate,5.0,6.0,6,Anxious,No,16.0,Poor
8.3,23.0,7.4,Moderate,4.0,0.0,6,Neutral,Yes,38.4,Poor
7.9,22.3,6.3,Low,3.0,48.0,10,Neutral,No,47.0,Average
6.1,21.9,3.9,Low,7.0,262.0,4,Neutral,No,42.4,Average
5.8,23.4,5.2,Low,39.0,69.0,0,Happy,No,58.2,Average
8.7,22.1,6.7,Low,49.0,124.0,7,Sad,No,40.4,Average
8.6,1.2,9.8,High,8.0,8.0,5,Happy,No,67.7,Good
7.3,2.9,10.2,Moderate,28.0,16.0,2,Anxious,Yes,43.0,Average
5.7,1.8,7.5,Moderate,33.0,137.0,2,Neutral,No,27.1,Poor
5.0,22.3,3.2,Low,42.0,49.0,4,Anxious,Yes,24.1,Poor
8.1,0.4,8.5,Low,14.0,68.0,7,Sad,No,37.8,Poor
6.2,20.5,2.7,Low,31.0,209.0,4,Happy,Yes,40.4,Average
3.9,21.6,1.5,High,18.0,7.0,3,Neutral,No,52.1,Average
6.2,3.9,10.1,Moderate,59.0,169.0,5,Anxious,Yes,5.5,Poor
4.3,3.3,7.6,Low,14.0,8.0,8,Happy,No,41.5,Average
7.3,22.6,5.9,Low,15.0,97.0,7,Happy,No,57.9,Average
5.8,0.0,5.9,Low,6.0,34.0,3,Happy,No,53.4,Average
10.4,0.1,10.5,Low,62.0,92.0,3,Anxious,Yes,14.8,Poor
6.8,21.7,4.5,High,25.0,52.0,3,Sad,No,40.5,Average
10.0,22.4,8.4,Low,17.0,3.0,2,Anxious,No,56.9,Average
7.5,23.9,7.4,Low,15.0,97.0,8,Anxious,No,50.3,Average
7.8,1.8,9.6,None,27.0,56.0,4,Neutral,No,78.6,Good
4.7,22.0,2.7,Low,38.0,5.0,5,Happy,Yes,40.8,Average
6.8,21.5,4.4,Low,25.0,40.0,3,Anxious,Yes,35.4,Poor
7.2,23.4,6.5,Low,29.0,126.0,3,Anxious,Yes,25.3,Poor
6.4,20.0,2.4,Low,102.0,111.0,5,Happy,Yes,44.6,Average
7.5,1.3,8.8,Low,5.0,29.0,5,Happy,Yes,60.0,Average
6.5,23.2,5.8,Low,19.0,1.0,0,Happy,Yes,72.2,Good
5.6,0.0,5.6,None,17.0,16.0,7,Happy,No,68.6,Good
8.2,0.0,8.2,Low,3.0,20.0,4,Sad,No,59.8,Average
6.3,1.4,7.7,High,18.0,32.0,6,Happy,No,43.0,Average
9.6,22.5,8.1,High,63.0,98.0,0,Happy,No,57.9,Average
3.7,21.8,1.5,None,26.0,300.0,7,Sad,No,16.9,Poor
6.7,4.0,10.7,Low,19.0,27.0,10,Neutral,Yes,24.7,Poor
4.9,0.8,5.7,Low,47.0,2.0,5,Sad,No,44.5,Average
9.1,2.6,11.7,Low,46.0,57.0,5,Happy,Yes,43.7,Average
4.2,0.3,4.5,Low,0.0,41.0,5,Sad,Yes,9.2,Poor
6.8,22.9,5.8,Low,3.0,59.0,1,Neutral,No,61.6,Average
8.4,20.5,4.9,Low,32.0,100.0,5,Sad,No,60.1,Average
5.8,21.5,3.3,Low,10.0,22.0,3,Neutral,No,47.3,Average
4.8,1.1,5.9,Moderate,12.0,31.0,5,Happy,No,34.3,Poor
10.5,0.3,10.8,High,38.0,68.0,1,Anxious,No,24.7,Poor
6.6,0.6,7.1,High,9.0,9.0,6,Neutral,No,34.7,Poor
5.8,1.0,6.8,High,19.0,14.0,7,Neutral,No,28.0,Poor
8.1,20.3,4.4,None,118.0,30.0,7,Sad,No,68.1,Good
4.0,21.3,1.4,Moderate,20.0,62.0,5,Happy,No,31.8,Poor
7.2,22.8,5.9,High,16.0,83.0,5,Anxious,Yes,21.4,Poor
6.3,22.2,4.5,None,23.0,7.0,4,Neutral,No,79.5,Good
6.2,23.3,5.5,Moderate,41.0,174.0,6,Neutral,No,53.6,Average
6.5,1.4,7.9,None,57.0,119.0,3,Anxious,Yes,40.8,Average
8.2,22.9,7.1,Moderate,5.0,73.0,3,Sad,Yes,24.7,Poor
7.1,20.3,3.4,Low,23.0,113.0,4,Happy,No,70.0,Good
7.1,1.4,8.6,Moderate,32.0,37.0,9,Anxious,No,50.1,Average
8.3,23.1,7.5,Low,45.0,7.0,4,Anxious,Yes,58.7,Average
4.9,23.8,4.8,Low,10.0,171.0,6,Sad,No,9.9,Poor
4.8,20.7,1.6,Low,15.0,44.0,1,Anxious,No,31.2,Poor
7.3,24.0,7.3,Low,32.0,32.0,3,Sad,Yes,61.4,Average
5.2,23.0,4.2,Low,10.0,84.0,0,Neutral,No,41.1,Average
6.7,21.6,4.2,Low,2.0,14.0,6,Happy,Yes,44.5,Average
7.5,1.9,9.4,Low,20.0,8.0,5,Neutral,No,79.2,Good
6.8,23.6,6.4,Low,57.0,25.0,3,Sad,No,71.6,Good
7.5,23.6,7.1,Low,49.0,17.0,4,Anxious,No,72.3,Good
4.9,21.4,2.3,Moderate,60.0,25.0,3,Happy,Yes,39.4,Poor
4.3,21.6,1.9,High,19.0,28.0,6,Anxious,No,21.3,Poor
5.4,23.4,4.8,Moderate,14.0,11.0,2,Happy,No,55.0,Average
7.9,21.7,5.6,None,6.0,115.0,3,Neutral,No,57.1,Average
5.7,23.1,4.8,None,17.0,47.0,1,Sad,Yes,26.6,Poor
8.0,22.0,6.0,Low,36.0,10.0,7,Happy,No,84.5,Good
6.8,22.2,5.0,Low,2.0,12.0,6,Anxious,Yes,26.1,Poor
6.9,23.6,6.5,Moderate,52.0,25.0,5,Happy,Yes,59.0,Average
5.1,21.1,2.2,None,35.0,26.0,2,Neutral,No,68.5,Good
6.1,22.0,4.1,Moderate,12.0,62.0,3,Sad,No,33.7,Poor
9.1,22.3,7.4,High,7.0,7.0,4,Neutral,No,44.1,Average
4.9,20.9,1.8,None,17.0,5.0,6,Happy,Yes,41.6,Average
7.7,23.3,7.0,None,6.0,203.0,4,Sad,No,50.6,Average
4.9,23.8,4.7,Low,6.0,149.0,5,Neutral,No,19.7,Poor
7.9,23.6,7.5,Low,74.0,3.0,8,Neutral,Yes,60.0,Average
4.2,2.0,6.3,Low,114.0,35.0,2,Neutral,No,58.5,Average
6.2,1.8,8.0,Low,20.0,113.0,7,Sad,No,40.9,Average
7.6,21.5,5.2,Low,18.0,3.0,5,Sad,No,75.7,Good
5.3,20.0,1.3,None,48.0,47.0,6,Happy,No,57.0,Average
6.9,20.9,3.8,Low,23.0,137.0,6,Sad,Yes,15.2,Poor
8.1,0.8,8.9,None,64.0,48.0,2,Sad,No,84.1,Good
7.1,1.0,8.1,None,15.0,63.0,5,Anxious,Yes,22.7,Poor
4.5,0.1,4.6,Low,22.0,116.0,8,Anxious,Yes,2.5,Poor
6.6,0.3,6.8,Low,6.0,74.0,1,Neutral,Yes,24.2,Poor
7.6,21.8,5.4,Moderate,20.0,184.0,7,Anxious,No,32.5,Poor
7.5,23.2,6.6,None,29.0,55.0,0,Neutral,No,90.4,Good
5.1,23.5,4.6,Moderate,38.0,59.0,5,Neutral,No,34.4,Poor
7.8,23.9,7.7,Low,7.0,5.0,3,Sad,No,55.7,Average
7.8,20.0,3.8,Low,90.0,42.0,4,Sad,Yes,48.9,Average
9.5,22.8,8.3,High,23.0,5.0,5,Neutral,No,46.2,Average
5.9,21.0,2.9,None,4.0,109.0,4,Happy,No,40.0,Average
6.9,2.4,9.3,Low,65.0,18.0,3,Happy,No,90.7,Good
5.1,2.2,7.3,None,4.0,27.0,2,Sad,No,47.2,Average
8.3,0.7,9.0,Moderate,21.0,39.0,1,Happy,Yes,59.7,Average
8.4,22.8,7.2,High,10.0,25.0,10,Neutral,No,42.7,Average
5.9,22.0,3.9,Low,40.0,162.0,5,Happy,No,50.1,Average
7.5,23.4,6.9,None,80.0,59.0,7,Neutral,Yes,61.4,Average
5.2,22.8,4.0,Low,7.0,85.0,7,Happy,No,28.0,Poor
5.2,2.4,7.6,None,146.0,14.0,4,Happy,No,59.4,Average
9.0,22.6,7.6,Low,76.0,5.0,4,Anxious,No,76.3,Good
7.3,0.2,7.4,Low,16.0,167.0,6,Neutral,No,50.3,Average
6.8,1.4,8.2,Low,17.0,20.0,5,Anxious,No,51.4,Average
8.6,2.1,10.7,None,7.0,177.0,4,Neutral,No,41.7,Average
9.4,20.7,6.1,Low,9.0,4.0,4,Neutral,Yes,31.1,Poor
7.2,21.5,4.7,Low,75.0,10.0,3,Sad,No,88.6,Good
6.6,23.1,5.8,None,41.0,65.0,5,Neutral,No,51.7,Average
7.4,23.8,7.2,High,31.0,96.0,6,Neutral,No,51.4,Average
6.2,22.5,4.7,None,70.0,39.0,5,Neutral,No,74.3,Good
7.3,22.1,5.5,Low,2.0,214.0,8,Happy,No,47.7,Average
6.6,23.9,6.5,Low,12.0,91.0,4,Happy,Yes,31.7,Poor
5.0,23.6,4.6,Moderate,78.0,37.0,4,Anxious,Yes,14.6,Poor
5.7,20.4,2.1,Moderate,1.0,1.0,3,Happy,No,52.2,Average
6.8,1.2,8.0,Low,27.0,39.0,7,Anxious,No,34.4,Poor
3.0,21.6,0.6,None,11.0,191.0,6,Neutral,Yes,0.0,Poor
5.8,22.5,4.3,Low,6.0,35.0,5,Happy,Yes,21.0,Poor
8.2,22.4,6.6,Moderate,84.0,0.0,0,Anxious,Yes,59.2,Average
6.5,20.0,2.5,High,41.0,79.0,0,Happy,No,63.7,Average
7.0,1.6,8.6,Low,32.0,15.0,7,Sad,No,55.6,Average
6.4,20.0,2.4,Moderate,15.0,34.0,2,Neutral,No,51.0,Average
6.1,20.0,2.1,Low,9.0,42.0,6,Happy,No,53.5,Average
7.1,21.3,4.4,Low,70.0,9.0,6,Anxious,No,75.6,Good
6.9,21.5,4.4,None,18.0,121.0,2,Anxious,No,39.5,Poor
4.2,22.7,2.9,Low,26.0,70.0,3,Sad,Yes,15.5,Poor
5.0,20.4,1.3,None,24.0,23.0,2,Neutral,No,52.4,Average
7.4,22.1,5.5,Moderate,10.0,69.0,5,Neutral,Yes,27.1,Poor
9.3,22.1,7.4,None,8.0,111.0,6,Anxious,No,31.0,Poor
6.2,22.2,4.3,None,34.0,47.0,2,Happy,Yes,60.9,Average
5.5,20.7,2.3,High,16.0,30.0,6,Anxious,No,17.1,Poor
9.3,23.3,8.6,Low,68.0,112.0,5,Sad,Yes,32.4,Poor
7.0,22.1,5.0,Moderate,14.0,71.0,4,Neutral,No,27.7,Poor
8.4,23.9,8.3,Moderate,153.0,15.0,7,Neutral,No,67.9,Good
4.5,23.6,4.2,Low,23.0,24.0,6,Anxious,No,50.4,Average
4.1,23.8,3.9,Low,7.0,42.0,4,Happy,No,47.4,Average
7.3,2.7,10.1,None,58.0,88.0,4,Neutral,No,77.3,Good
9.6,20.8,6.4,None,1.0,61.0,0,Neutral,Yes,40.4,Average
8.5,21.1,5.6,None,6.0,7.0,6,Anxious,No,55.7,Average
8.3,21.8,6.1,None,62.0,59.0,5,Happy,Yes,67.7,Good
6.0,21.2,3.2,Moderate,100.0,57.0,1,Sad,Yes,31.5,Poor
4.9,1.2,6.1,Low,180.0,18.0,8,Anxious,Yes,24.5,Poor
7.7,21.9,5.6,Moderate,36.0,8.0,7,Anxious,No,58.5,Average
8.6,23.4,8.0,None,42.0,37.0,3,Neutral,No,90.9,Good
7.4,1.2,8.6,Low,2.0,216.0,0,Neutral,No,62.0,Average
5.5,20.0,1.5,Moderate,13.0,8.0,7,Happy,No,20.8,Poor
7.3,23.6,7.0,Low,60.0,17.0,3,Anxious,No,69.7,Good
6.7,22.0,4.7,None,15.0,47.0,7,Sad,No,39.5,Poor
8.7,1.2,9.9,Low,1.0,3.0,5,Anxious,Yes,26.7,Poor
8.1,0.7,8.8,Moderate,30.0,81.0,8,Happy,No,60.5,Average
7.2,0.4,7.6,Moderate,7.0,7.0,5,Neutral,No,63.3,Average
8.0,20.6,4.6,Low,12.0,61.0,6,Anxious,Yes,18.8,Poor
5.7,23.0,4.7,High,9.0,41.0,6,Happy,Yes,15.1,Poor
5.1,20.0,1.1,Low,6.0,69.0,6,Sad,Yes,0.0,Poor
5.6,23.6,5.1,High,29.0,17.0,1,Happy,No,50.9,Average
6.9,22.6,5.6,Low,102.0,68.0,6,Happy,Yes,40.9,Average
6.4,1.7,8.1,None,5.0,62.0,5,Happy,Yes,26.2,Poor
10.0,23.3,9.3,Low,40.0,59.0,6,Happy,No,76.2,Good
7.8,22.6,6.4,High,39.0,235.0,2,Sad,Yes,30.1,Poor
7.2,23.7,6.9,Low,17.0,60.0,5,Neutral,Yes,56.3,Average
6.8,1.9,8.7,Moderate,11.0,146.0,4,Sad,Yes,0.0,Poor
7.4,0.6,8.0,Low,9.0,63.0,4,Neutral,Yes,32.8,Poor
8.3,22.0,6.3,Low,118.0,148.0,1,Sad,Yes,41.7,Average
6.6,20.6,3.2,None,59.0,29.0,3,Neutral,No,91.1,Good
6.2,1.5,7.6,None,3.0,3.0,7,Neutral,No,54.8,Average
9.7,0.1,9.8,Low,46.0,11.0,3,Neutral,Yes,50.0,Average
7.0,2.5,9.4,Moderate,59.0,34.0,5,Neutral,No,47.9,Average
5.3,0.4,5.6,None,5.0,6.0,9,Anxious,Yes,2.2,Poor
7.1,21.9,5.0,High,6.0,193.0,0,Anxious,No,32.4,Poor
5.2,21.2,2.5,Low,26.0,0.0,10,Sad,No,35.2,Poor
7.5,0.2,7.7,Moderate,8.0,16.0,8,Anxious,No,37.2,Poor
6.1,20.0,2.1,Moderate,23.0,14.0,9,Neutral,No,32.8,Poor
8.2,22.7,6.9,Moderate,56.0,36.0,5,Neutral,No,63.1,Average
7.4,22.4,5.8,Low,14.0,183.0,4,Neutral,No,43.3,Average
7.4,23.4,6.8,None,21.0,90.0,2,Happy,No,84.4,Good
7.8,24.0,7.8,Moderate,3.0,250.0,0,Happy,No,50.3,Average
8.2,20.7,4.9,Moderate,52.0,67.0,2,Anxious,Yes,32.5,Poor
8.3,22.8,7.2,Low,8.0,16.0,7,Neutral,Yes,46.5,Average
8.4,20.0,4.4,Moderate,6.0,10.0,6,Neutral,Yes,40.3,Average
8.9,0.9,9.8,High,58.0,31.0,3,Neutral,No,65.4,Good
6.1,23.3,5.3,Low,57.0,114.0,6,Anxious,Yes,21.7,Poor
9.8,0.4,10.3,None,1.0,194.0,7,Happy,Yes,22.9,Poor
8.5,23.1,7.6,Low,0.0,47.0,6,Neutral,Yes,50.9,Average
6.9,21.4,4.3,None,6.0,63.0,8,Anxious,No,26.8,Poor
5.0,21.9,2.8,High,57.0,102.0,6,Neutral,No,28.2,Poor
10.0,22.5,8.5,High,3.0,32.0,10,Anxious,Yes,0.0,Poor
6.2,0.6,6.8,Moderate,34.0,26.0,5,Happy,No,66.3,Good
7.4,23.0,6.4,None,5.0,33.0,7,Sad,No,48.6,Average
8.0,1.4,9.4,Moderate,27.0,30.0,5,Neutral,No,60.7,Average
6.5,20.0,2.5,Low,14.0,41.0,7,Happy,No,47.1,Average
6.6,22.9,5.5,None,104.0,22.0,4,Neutral,Yes,64.2,Average
10.2,22.5,8.7,High,15.0,36.0,9,Neutral,Yes,0.0,Poor
5.9,20.2,2.1,Low,43.0,1.0,6,Sad,Yes,29.3,Poor
6.5,22.7,5.2,Moderate,73.0,26.0,6,Neutral,No,63.6,Average
5.7,20.0,1.7,High,8.0,173.0,4,Neutral,No,6.2,Poor
8.5,0.2,8.7,Moderate,158.0,18.0,8,Happy,Yes,59.3,Average
4.1,22.6,2.7,Low,6.0,20.0,5,Sad,No,30.5,Poor
7.3,21.9,5.2,Low,57.0,38.0,6,Happy,No,82.7,Good
3.1,21.6,0.7,Low,34.0,175.0,10,Neutral,Yes,8.0,Poor
6.6,23.4,6.0,Low,13.0,17.0,5,Happy,No,63.7,Average
7.2,22.1,5.3,Low,2.0,109.0,3,Neutral,No,54.7,Average
8.3,21.6,5.9,High,8.0,7.0,0,Happy,No,74.8,Good
8.5,22.2,6.6,Moderate,53.0,166.0,8,Happy,Yes,37.2,Poor
7.3,21.4,4.7,Moderate,18.0,152.0,3,Happy,No,51.9,Average
6.1,22.1,4.3,Low,24.0,8.0,4,Neutral,No,72.6,Good
4.9,23.5,4.5,Moderate,6.0,96.0,1,Happy,No,31.6,Poor
6.2,23.8,6.1,Low,30.0,145.0,8,Happy,No,55.7,Average
8.3,0.2,8.5,None,79.0,151.0,5,Neutral,No,73.8,Good
7.7,22.9,6.6,Low,45.0,5.0,3,Happy,Yes,77.1,Good
10.2,23.0,9.2,None,38.0,109.0,7,Happy,No,57.6,Average
8.5,20.5,5.0,None,15.0,158.0,1,Neutral,No,72.7,Good
8.5,23.7,8.2,Low,8.0,105.0,3,Sad,No,42.6,Average
6.7,0.6,7.3,None,119.0,36.0,7,Neutral,No,64.1,Average
6.5,2.1,8.6,Low,3.0,77.0,7,Sad,No,25.5,Poor
5.5,3.1,8.6,Low,17.0,27.0,0,Anxious,No,50.3,Average
5.6,23.4,5.0,Low,95.0,77.0,2,Neutral,Yes,46.4,Average
3.9,23.6,3.5,High,3.0,13.0,6,Neutral,No,34.0,Poor
4.6,0.5,5.0,None,48.0,11.0,5,Neutral,Yes,38.9,Poor
8.6,21.9,6.5,Low,19.0,5.0,6,Anxious,No,63.4,Average
8.2,22.9,7.1,Low,121.0,47.0,5,Anxious,No,62.7,Average
6.7,24.0,6.7,Low,21.0,52.0,1,Happy,No,82.0,Good
7.8,0.4,8.2,None,85.0,14.0,4,Sad,No,94.8,Good
10.3,2.0,12.3,Low,29.0,81.0,3,Neutral,Yes,19.4,Poor
7.0,23.7,6.7,High,14.0,35.0,0,Sad,No,38.6,Poor
5.2,20.5,1.6,None,25.0,169.0,2,Neutral,No,39.0,Poor
4.1,20.6,0.8,Low,86.0,86.0,1,Anxious,No,38.9,Poor
7.9,2.5,10.4,High,45.0,170.0,1,Neutral,No,63.5,Average
4.4,23.0,3.4,None,1.0,77.0,5,Neutral,No,36.0,Poor
7.1,23.9,7.0,Low,64.0,300.0,3,Neutral,No,61.1,Average
6.3,21.5,3.7,Moderate,15.0,18.0,4,Anxious,Yes,21.0,Poor
8.5,23.2,7.7,Moderate,36.0,208.0,6,Anxious,No,35.6,Poor
7.4,22.7,6.1,None,23.0,58.0,2,Happy,No,93.2,Good
9.5,22.3,7.9,Low,32.0,21.0,3,Happy,No,80.8,Good
6.0,23.3,5.3,None,3.0,39.0,6,Happy,No,60.0,Average
7.7,0.2,7.8,Moderate,2.0,92.0,7,Sad,No,28.5,Poor
6.3,1.1,7.4,None,8.0,94.0,3,Happy,No,54.4,Average
8.4,22.8,7.2,None,91.0,1.0,5,Happy,No,100.0,Good
5.2,23.3,4.4,Low,57.0,205.0,6,Neutral,Yes,32.2,Poor
6.7,21.2,4.0,Low,14.0,44.0,2,Happy,No,69.4,Good
5.5,20.4,1.9,Low,30.0,10.0,3,Sad,No,44.3,Average
6.8,21.4,4.2,None,3.0,128.0,5,Sad,No,24.2,Poor
8.5,21.7,6.2,None,100.0,81.0,5,Sad,No,65.4,Good
7.8,21.8,5.7,Low,21.0,22.0,3,Anxious,No,69.0,Good
7.4,20.9,4.3,Low,30.0,46.0,4,Neutral,No,78.2,Good
7.2,21.3,4.5,High,97.0,22.0,2,Sad,Yes,52.7,Average
7.0,22.1,5.2,Low,45.0,7.0,0,Neutral,No,98.8,Good
7.9,3.4,11.3,Low,28.0,72.0,7,Happy,No,60.8,Average
8.0,0.9,9.0,Low,31.0,5.0,4,Sad,No,77.0,Good
6.1,22.2,4.3,Moderate,80.0,136.0,1,Anxious,Yes,28.4,Poor
6.2,20.0,2.2,Low,19.0,17.0,3,Happy,Yes,68.1,Good
8.9,22.3,7.2,Low,78.0,85.0,3,Sad,Yes,44.1,Average
6.1,1.6,7.7,High,2.0,8.0,6,Neutral,Yes,32.1,Poor
5.2,0.2,5.4,Moderate,70.0,22.0,6,Happy,No,43.8,Average
8.0,21.8,5.8,Moderate,57.0,50.0,2,Sad,No,72.7,Good
9.4,3.0,12.4,Low,17.0,22.0,6,Anxious,No,51.8,Average
8.1,21.5,5.6,Low,61.0,117.0,2,Happy,No,76.8,Good
6.6,22.6,5.2,Low,32.0,6.0,8,Happy,No,80.3,Good
5.5,1.2,6.7,None,29.0,173.0,3,Happy,No,46.3,Average
7.3,20.0,3.3,High,40.0,5.0,4,Neutral,Yes,53.2,Average
8.8,22.0,6.8,Low,30.0,300.0,4,Happy,Yes,42.5,Average
6.5,1.0,7.5,Moderate,4.0,122.0,6,Happy,No,24.5,Poor
7.4,0.2,7.6,Low,2.0,26.0,4,Neutral,Yes,53.0,Average
7.3,21.7,5.0,Low,61.0,22.0,7,Neutral,No,77.2,Good
6.0,22.0,4.0,Low,4.0,15.0,5,Neutral,No,50.0,Average
5.1,22.3,3.4,None,52.0,3.0,2,Sad,No,61.4,Average
6.8,21.8,4.6,High,26.0,222.0,9,Happy,No,23.6,Poor
5.6,22.2,3.8,Low,94.0,6.0,9,Anxious,No,32.1,Poor
5.4,20.3,1.7,None,120.0,148.0,5,Happy,Yes,16.6,Poor
6.0,1.2,7.1,High,9.0,161.0,5,Sad,Yes,0.0,Poor
7.7,20.0,3.7,High,35.0,4.0,4,Anxious,Yes,40.1,Average
5.2,0.8,6.0,Low,30.0,190.0,4,Happy,No,42.2,Average
5.0,22.2,3.2,Low,7.0,88.0,4,Sad,Yes,0.0,Poor
6.1,22.7,4.8,Low,6.0,43.0,2,Anxious,No,34.5,Poor
4.8,0.4,5.2,Moderate,8.0,2.0,3,Happy,Yes,23.4,Poor
6.9,22.2,5.1,None,19.0,229.0,7,Happy,Yes,28.6,Poor
7.3,22.1,5.4,None,19.0,163.0,6,Happy,No,65.2,Good
9.6,20.0,5.6,Low,42.0,61.0,2,Happy,No,68.2,Good
7.0,2.0,9.0,High,13.0,100.0,8,Sad,Yes,0.0,Poor
6.4,0.2,6.7,Moderate,75.0,1.0,3,Neutral,No,60.0,Average
8.8,21.6,6.4,Low,109.0,45.0,7,Anxious,No,57.4,Average
6.4,1.4,7.8,None,38.0,38.0,7,Neutral,Yes,35.6,Poor
9.4,22.0,7.4,None,62.0,89.0,3,Happy,No,79.3,Good
5.4,2.6,8.0,High,6.0,2.0,0,Happy,Yes,27.9,Poor
6.6,20.5,3.1,None,34.0,2.0,6,Anxious,No,54.8,Average
5.9,22.2,4.1,Low,10.0,98.0,3,Happy,No,41.1,Average
6.7,22.7,5.3,Moderate,48.0,48.0,3,Anxious,No,65.5,Good
5.4,22.0,3.4,Low,38.0,20.0,4,Neutral,No,65.1,Good
9.5,22.7,8.2,Low,38.0,92.0,0,Neutral,Yes,57.7,Average
6.9,23.4,6.3,High,74.0,45.0,1,Neutral,No,61.6,Average
7.6,23.5,7.1,Low,85.0,172.0,4,Sad,No,52.2,Average
7.0,23.0,6.0,Low,6.0,12.0,3,Neutral,No,59.5,Average
7.4,21.7,5.2,Moderate,36.0,49.0,1,Neutral,No,64.9,Average
